Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
23/5/2014,0.01926554,0.023243989,0.012119843,0.00700916,2.54,63.48,40.87,34.45,26.43
30/5/2014,0.007095669,0.013629588,0.012123466,0.006643993,2.48,64.64,42.79,36.08,27.27
6/6/2014,0.014152089,0.018558723,0.013447972,0.012414552,2.6,66.97,45.44,37.91,28.85
13/6/2014,-0.017068935,-0.002544004,-0.006816039,-0.008769887,2.6,64.12,45.07,36.97,27.72
20/6/2014,-0.015842067,0.013372854,0.013798642,0.010178516,2.63,61.52,47.01,38.86,29.02
27/6/2014,0.065440812,0.006802258,-0.00100821,-0.00558053,2.54,72.09,48.01,38.72,28.3
4/7/2014,0.025161253,0.019998649,0.012471165,0.012782541,2.65,76.42,50.97,40.45,29.94
11/7/2014,-0.055946038,-0.015698483,-0.008971164,-0.007234108,2.53,66.55,48.6,39.19,29
18/7/2014,-0.000960672,0.003768506,0.005388318,0.009224806,2.5,66.39,49.16,39.94,30.19
25/7/2014,-0.031492277,0.003955484,7.15E-05,-0.008218757,2.48,61.15,49.75,39.95,29.12
1/8/2014,-0.013155445,-0.021769616,-0.026866738,-0.027493804,2.52,59.03,46.49,36.19,25.57
8/8/2014,0.006476765,0.004164107,0.003377634,0.003663295,2.44,60.06,47.1,36.65,26.03
15/8/2014,0.020429839,0.021549966,0.012147823,0.006585734,2.34,63.33,50.27,38.31,26.86
22/8/2014,0.024122941,0.01643708,0.016990818,0.020258553,2.4,67.27,52.74,40.66,29.43
29/8/2014,0.00149459,0.009231374,0.007535902,0.005717376,2.35,67.52,54.15,41.72,30.17
5/9/2014,0.011938873,0.000583847,0.002187412,0.002304678,2.46,69.52,54.24,42.03,30.47
12/9/2014,0.034627183,-0.003371369,-0.011054003,-0.008737641,2.62,75.39,53.72,40.46,29.33
19/9/2014,0.020411654,0.002667187,0.012530258,0.017165391,2.59,78.97,54.13,42.22,31.55
26/9/2014,0.002179136,-0.014727827,-0.013711152,-0.009578107,2.54,79.36,51.86,40.27,30.29
3/10/2014,-0.008418822,-0.008099565,-0.007556855,-0.006063397,2.45,77.85,50.63,39.21,29.5
10/10/2014,-0.063368007,-0.044546239,-0.031391423,-0.027413127,2.31,66.58,43.92,34.84,25.95
17/10/2014,-0.02911514,-0.004168983,-0.01016019,-0.009845177,2.22,61.73,43.32,33.47,24.71
24/10/2014,0.129660545,0.052888641,0.041282685,0.025900088,2.29,82.7,50.9,38.98,27.94
